episode,score,steps,epsilon,loss,avg_q
224,56,13,0.9894,7.0173,39.9853
225,35,8,0.9893,7.5963,38.0878
226,40,9,0.9893,4.3536,38.8222
227,57,13,0.9892,4.3535,38.1718
228,26,7,0.9892,5.0752,38.1507
229,93,15,0.9891,6.2602,37.7502
230,60,11,0.9891,5.7462,36.2077
231,157,14,0.9890,5.8933,38.7720
232,40,10,0.9890,6.2606,37.2928
233,42,11,0.9889,6.5124,38.6307
234,53,11,0.9889,4.9309,38.5525
235,62,13,0.9888,3.6422,43.3884
236,87,15,0.9888,6.2384,34.3976
237,39,9,0.9887,8.1770,36.6532
238,57,12,0.9887,5.9788,35.3946
239,72,16,0.9886,5.1770,35.3386
240,40,9,0.9886,6.1831,34.8340
241,35,8,0.9886,4.7237,33.5200
242,56,12,0.9885,5.0385,37.2937
243,55,11,0.9885,5.3613,35.8695
244,81,14,0.9884,6.0036,34.5981
245,63,12,0.9884,5.1217,38.9810
246,41,11,0.9883,5.4504,35.0963
247,44,12,0.9883,5.6736,38.0237
248,26,6,0.9882,7.6317,36.1277
249,40,11,0.9882,6.4588,38.1344
250,40,8,0.9881,4.7276,39.3437
251,37,10,0.9881,6.0075,39.1986
252,39,10,0.9880,5.4568,37.7276
253,36,9,0.9880,4.2932,37.1552
254,112,16,0.9879,6.1383,36.4441
255,42,12,0.9879,5.6882,32.9884
256,74,14,0.9878,5.1853,36.3151
257,41,10,0.9878,4.7685,35.9400
258,30,8,0.9877,5.0759,35.2137
259,115,14,0.9877,5.1349,39.1291
260,52,10,0.9877,4.3755,41.4444
261,81,15,0.9876,5.5518,42.7813
262,23,6,0.9876,5.6131,35.5705
263,44,10,0.9875,6.9496,40.6610
264,48,9,0.9875,6.6719,35.5349
265,265,26,0.9874,7.7016,43.2995
266,48,9,0.9874,9.2998,46.2859
267,84,12,0.9873,6.9393,47.3557
268,40,10,0.9873,7.3517,43.6666
269,88,14,0.9872,4.9592,45.2884
270,33,8,0.9872,5.5273,45.2090
271,35,7,0.9871,5.1934,43.8701
272,56,11,0.9871,4.7665,44.9060
273,29,8,0.9870,6.5236,39.5716
274,29,8,0.9870,4.7863,42.3840
275,36,8,0.9869,5.8281,46.1289
276,44,11,0.9869,5.9118,41.2543
277,53,10,0.9868,7.4077,44.4805
278,33,8,0.9868,7.2003,45.3975
279,46,9,0.9867,6.5022,42.0734
280,92,14,0.9867,5.9096,49.3799
281,70,13,0.9867,5.7430,47.3203
282,31,8,0.9866,8.4487,42.8629
283,33,6,0.9866,6.8774,48.6282
284,28,8,0.9865,7.0631,44.5942
285,39,10,0.9865,6.9658,43.8973
286,59,12,0.9864,6.3970,45.7609
287,33,9,0.9864,6.6867,43.3901
288,57,12,0.9863,5.6324,41.7231
289,128,16,0.9863,5.2633,48.5427
290,85,14,0.9862,8.3947,42.5624
291,29,8,0.9862,6.0621,43.4769
292,37,7,0.9861,3.9589,48.7767
293,36,9,0.9861,8.4952,43.1235
294,137,18,0.9860,6.2173,44.2801
295,62,12,0.9860,4.7202,48.9314
296,42,11,0.9859,6.1065,46.1329
297,130,21,0.9859,4.6938,44.6643
298,113,14,0.9858,5.2284,46.5606
299,28,8,0.9858,5.2562,42.8866
300,32,7,0.9858,7.6453,45.0852
301,79,11,0.9857,5.4955,48.6807
302,34,8,0.9857,6.8526,43.0548
303,35,10,0.9856,4.1596,39.8783
304,45,10,0.9856,7.4264,45.2617
305,45,13,0.9855,6.7696,45.8295
306,55,11,0.9855,5.9064,42.9513
307,130,16,0.9854,7.2829,47.4287
308,37,8,0.9854,5.6955,46.5079
309,49,8,0.9853,5.7061,46.4567
310,34,8,0.9853,5.6882,45.3634
311,124,15,0.9852,7.2289,47.0820
312,41,10,0.9852,9.8011,48.7594
313,46,12,0.9851,8.3198,50.4874
314,33,8,0.9851,7.1755,49.6190
315,60,13,0.9850,6.2796,53.0373
316,41,12,0.9850,4.7006,49.3272
317,42,11,0.9849,9.4788,53.3493
318,84,13,0.9849,6.6613,60.6727
319,17,4,0.9848,10.6223,49.6985
320,59,13,0.9848,7.2476,53.7216
321,111,19,0.9848,6.8515,53.6623
322,88,16,0.9847,6.2533,52.3317
323,37,9,0.9847,8.4879,53.9824
324,37,9,0.9846,3.2906,49.6688
325,38,10,0.9846,6.9528,54.7096
