episode,score,steps,epsilon,loss,avg_v
544,36,9,0.9677,7.7382,68.8258
545,38,11,0.9676,8.1755,68.4914
546,34,8,0.9676,5.2096,67.1366
547,43,10,0.9675,6.0548,77.7812
548,36,9,0.9675,4.9684,72.1270
549,44,11,0.9674,6.4558,67.8278
550,48,12,0.9673,6.0525,69.4614
551,39,10,0.9673,6.1737,69.9213
552,20,5,0.9672,5.3145,66.8907
553,59,13,0.9672,6.4843,71.9274
554,31,8,0.9671,10.5014,66.7154
555,48,12,0.9670,5.1122,77.7480
556,31,8,0.9670,6.0346,67.2011
557,69,14,0.9669,9.0978,70.3318
558,46,10,0.9669,7.2156,70.4027
559,35,9,0.9668,8.2995,69.1850
560,41,12,0.9667,7.5694,71.7157
561,364,21,0.9667,6.7550,102.0445
562,34,9,0.9666,9.1286,67.0305
563,44,12,0.9666,6.4580,69.0120
564,38,9,0.9665,7.3274,69.8089
565,47,9,0.9665,7.5336,65.3150
566,72,16,0.9664,6.7588,70.4319
567,31,9,0.9663,4.8229,65.1787
568,40,11,0.9663,9.5113,72.1090
569,18,4,0.9662,6.9671,64.6481
570,24,6,0.9662,6.0933,63.4741
571,32,9,0.9661,5.8736,63.3200
572,36,9,0.9660,8.9616,68.1916
573,60,15,0.9660,10.1347,72.3621
574,36,8,0.9659,8.7057,69.7387
575,81,12,0.9659,5.8999,75.6554
576,34,8,0.9658,9.8706,76.3048
577,44,11,0.9657,5.4393,75.2213
578,44,11,0.9657,7.4961,74.0195
579,58,12,0.9656,8.3961,70.4304
580,37,9,0.9656,5.3583,70.1609
581,48,9,0.9655,5.7079,65.6660
582,57,10,0.9654,8.1286,70.3412
583,30,8,0.9654,7.1730,67.1426
584,57,13,0.9653,9.5329,73.3377
585,33,9,0.9653,9.3623,67.9418
586,33,8,0.9652,7.1286,70.5035
587,52,11,0.9651,8.4383,69.5340
588,111,14,0.9651,8.0400,81.8837
589,38,9,0.9650,8.2097,75.3543
590,70,15,0.9650,5.5505,77.9219
591,122,17,0.9649,8.4144,82.4333
592,73,15,0.9648,8.6525,76.6514
593,48,11,0.9648,7.5611,80.8847
594,33,8,0.9647,8.8236,77.6970
595,41,11,0.9647,10.6185,74.4503
596,41,8,0.9646,10.2788,78.8684
597,57,13,0.9646,9.2094,77.1114
598,42,10,0.9645,6.6096,77.6811
599,32,8,0.9644,6.9288,75.7686
600,33,9,0.9644,7.4766,74.9279
601,42,10,0.9643,5.7397,78.9346
602,26,6,0.9643,5.9619,73.5128
603,29,6,0.9642,10.7406,73.8172
604,116,16,0.9641,7.4933,90.7833
605,59,12,0.9641,6.4588,85.8797
606,134,18,0.9640,7.1114,91.5097
607,38,10,0.9640,5.5636,76.8785
