episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
308,57,11,0.9538,0.00005000,5.7595,40.1524,21.5317
309,28,8,0.9536,0.00005000,5.1431,37.1015,22.2395
310,49,9,0.9535,0.00005000,4.9151,39.6316,17.6055
311,41,9,0.9534,0.00005000,6.7424,40.5480,26.9191
312,155,15,0.9532,0.00005000,7.2811,53.1471,68.5069
313,33,8,0.9530,0.00005000,6.6095,41.4341,33.9595
314,43,11,0.9529,0.00005000,6.9258,40.8618,25.6786
315,38,10,0.9527,0.00005000,4.0644,38.3925,40.3426
316,35,9,0.9526,0.00005000,4.7451,37.7830,16.9236
317,106,13,0.9525,0.00005000,5.5550,48.8956,9.9414
318,53,12,0.9523,0.00005000,4.2757,45.2564,17.9986
319,43,10,0.9522,0.00005000,7.0002,41.4878,16.2463
320,42,11,0.9520,0.00005000,6.5849,43.9313,18.7373
321,31,9,0.9518,0.00005000,4.7723,40.3657,25.0938
322,62,11,0.9517,0.00005000,4.6296,43.5988,36.9911
323,38,10,0.9516,0.00005000,7.0949,42.7801,26.4992
324,44,13,0.9514,0.00005000,6.0482,39.4237,13.1921
325,120,20,0.9513,0.00005000,4.1969,47.9951,24.0590
326,37,9,0.9511,0.00005000,5.7713,39.8227,25.6287
327,53,11,0.9509,0.00005000,4.5116,44.5569,23.5129
328,28,8,0.9508,0.00005000,7.4001,39.4857,24.2651
329,40,10,0.9506,0.00005000,5.3537,38.6958,23.4118
330,72,12,0.9505,0.00005000,6.6688,42.9529,22.2380
331,117,15,0.9504,0.00005000,5.0185,45.5494,22.5218
332,79,15,0.9502,0.00005000,4.3713,44.1090,17.5407
333,90,16,0.9500,0.00005000,6.4649,43.5842,25.3972
334,91,16,0.9499,0.00005000,5.8816,43.6731,17.4912
335,207,23,0.9497,0.00005000,5.4641,49.1227,18.1254
336,33,9,0.9496,0.00005000,5.4470,40.4732,21.3444
337,37,10,0.9495,0.00005000,5.3061,39.6907,22.4188
338,58,12,0.9493,0.00005000,5.4542,41.9474,19.1234
339,37,9,0.9492,0.00005000,4.8779,39.9119,22.2143
340,39,10,0.9490,0.00005000,4.9795,42.6188,27.2562
341,50,10,0.9488,0.00005000,3.7866,40.0970,24.7674
342,82,13,0.9487,0.00005000,6.1085,41.2757,22.5300
343,53,10,0.9486,0.00005000,2.8597,41.9368,16.3602
344,51,11,0.9484,0.00005000,4.2657,41.4927,20.0177
345,56,12,0.9483,0.00005000,5.7288,43.0852,36.9448
346,43,12,0.9481,0.00005000,4.4276,44.0370,22.1454
347,56,12,0.9479,0.00005000,5.0606,44.1720,21.8387
348,42,10,0.9478,0.00005000,5.2408,40.6636,14.9968
349,44,11,0.9476,0.00005000,4.4634,43.6346,38.4055
350,96,16,0.9475,0.00005000,5.8946,43.2582,37.3517
351,121,17,0.9474,0.00005000,4.6607,44.4931,26.9903
352,60,12,0.9472,0.00005000,4.6563,43.5539,21.7167
353,85,13,0.9470,0.00005000,6.1248,49.4106,67.2472
354,54,11,0.9469,0.00005000,5.6060,49.7362,48.5835
355,36,10,0.9467,0.00005000,4.6077,41.2399,37.1644
356,85,15,0.9466,0.00005000,5.5960,48.6218,27.3620
357,45,7,0.9465,0.00005000,6.3185,50.2682,41.4600
358,109,18,0.9463,0.00005000,4.4451,49.0089,27.1261
359,56,11,0.9462,0.00005000,3.9954,47.7536,26.6660
360,141,19,0.9460,0.00005000,5.7686,48.2388,25.0787
361,40,10,0.9458,0.00005000,6.5471,49.3176,14.6741
362,153,15,0.9457,0.00005000,6.0676,52.7475,21.8758
363,51,10,0.9456,0.00005000,5.6196,44.4851,23.6085
364,38,10,0.9454,0.00005000,4.6878,44.8418,12.2484
365,55,12,0.9453,0.00005000,6.1482,44.1356,24.2356
366,40,9,0.9451,0.00005000,6.0425,46.2720,28.1650
367,56,11,0.9449,0.00005000,5.8125,48.2634,21.1318
368,40,9,0.9448,0.00005000,4.9464,45.7597,23.0992
369,84,15,0.9446,0.00005000,5.6582,48.1577,16.8389
370,30,8,0.9445,0.00005000,7.0017,45.3480,29.4082
371,37,9,0.9444,0.00005000,5.4605,47.0904,30.3197
372,32,7,0.9442,0.00005000,2.7508,44.5340,34.0270
373,116,14,0.9441,0.00005000,6.4554,52.9633,20.3698
374,37,11,0.9439,0.00005000,5.2672,45.4936,18.9706
375,22,7,0.9437,0.00005000,6.3768,43.1073,25.7815
376,115,14,0.9436,0.00005000,4.7095,54.5871,24.4070
377,51,8,0.9435,0.00005000,5.4394,49.5753,17.8452
378,101,14,0.9433,0.00005000,5.0846,53.3612,23.4099
379,80,17,0.9432,0.00005000,6.0551,45.6637,27.9661
380,141,18,0.9430,0.00005000,5.4146,54.3994,30.6953
381,37,9,0.9428,0.00005000,6.1200,43.8247,19.6833
382,28,6,0.9427,0.00005000,3.6006,49.5373,31.2310
383,71,14,0.9425,0.00005000,5.9065,48.8753,15.0223
384,56,12,0.9424,0.00005000,5.6523,47.2535,22.1839
385,80,12,0.9423,0.00005000,4.2432,53.3008,34.1633
386,36,8,0.9421,0.00005000,5.3748,53.3599,23.2179
387,54,12,0.9419,0.00005000,6.6746,45.6619,26.8105
388,54,10,0.9418,0.00005000,6.9155,46.5045,26.9159
389,50,10,0.9416,0.00005000,5.6168,47.4816,24.3399
390,89,16,0.9415,0.00005000,5.6655,46.3059,23.9899
391,51,11,0.9414,0.00005000,6.4636,45.5574,20.9908
392,45,8,0.9412,0.00005000,4.7861,48.9754,23.0832
393,45,11,0.9410,0.00005000,5.0006,46.8680,20.2020
394,198,20,0.9409,0.00005000,4.6926,55.9657,16.6687
395,54,13,0.9407,0.00005000,6.2366,44.4584,39.2096
396,36,10,0.9406,0.00005000,7.1649,45.0153,83.5025
397,43,12,0.9405,0.00005000,5.6094,53.0244,89.2578
398,37,9,0.9403,0.00005000,4.9636,46.9074,28.8795
399,88,16,0.9402,0.00005000,7.4039,50.3990,27.3381
400,57,12,0.9400,0.00005000,4.2646,50.8580,32.0530
401,124,16,0.9398,0.00005000,8.4261,52.9433,36.4364
402,90,13,0.9397,0.00005000,5.3770,55.1513,24.2367
403,25,6,0.9395,0.00005000,4.4502,49.4464,27.1072
404,34,9,0.9394,0.00005000,6.2715,50.7293,28.5320
405,96,15,0.9393,0.00005000,5.3894,51.1002,24.1108
406,72,14,0.9391,0.00005000,6.5195,53.5905,27.7873
407,61,14,0.9389,0.00005000,5.7310,49.7893,37.2319
408,75,13,0.9388,0.00005000,6.2615,57.2494,28.6432
409,125,17,0.9386,0.00005000,6.1340,56.6200,21.0943
410,42,11,0.9385,0.00005000,6.8518,49.9021,29.0749
411,38,9,0.9384,0.00005000,4.2345,48.4490,19.9400
412,58,11,0.9382,0.00005000,6.2916,50.8270,27.7579
413,30,7,0.9381,0.00005000,4.5195,48.5716,15.2978
414,75,13,0.9379,0.00005000,6.0596,55.4608,16.3506
415,44,10,0.9377,0.00005000,4.7763,52.5219,17.3763
416,37,10,0.9376,0.00005000,6.7366,49.5158,25.7536
417,83,14,0.9375,0.00005000,5.5597,52.3895,22.3269
418,53,12,0.9373,0.00005000,6.3108,47.5813,26.3988
419,62,12,0.9372,0.00005000,4.1542,50.4471,31.2374
420,69,11,0.9370,0.00005000,8.4127,53.0762,41.2310
421,40,9,0.9368,0.00005000,7.2912,54.3406,34.3700
422,56,11,0.9367,0.00005000,7.7701,54.8156,30.0166
423,102,11,0.9365,0.00005000,4.5602,56.2535,28.7480
424,32,11,0.9364,0.00005000,5.5171,48.0647,27.5065
425,39,11,0.9363,0.00005000,5.4629,47.3521,25.9709
426,214,16,0.9361,0.00005000,6.4462,57.1631,20.1470
427,121,15,0.9359,0.00005000,6.3648,55.3412,32.5541
428,64,14,0.9358,0.00005000,4.6577,50.7823,32.8907
429,59,12,0.9356,0.00005000,5.8229,49.7795,17.5522
430,75,13,0.9355,0.00005000,7.0187,50.9302,22.0109
431,30,8,0.9354,0.00005000,7.5238,48.1100,26.5865
432,24,6,0.9352,0.00005000,7.4308,49.9626,35.5872
433,35,9,0.9350,0.00005000,6.9826,46.5146,30.6332
434,56,12,0.9349,0.00005000,5.5066,50.4676,18.7650
