episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
169,27,7,0.9747,0.00004937,4.4912,20.8812,0.0000
170,59,12,0.9745,0.00004936,3.7332,24.8274,0.0000
171,36,9,0.9744,0.00004936,3.8615,20.9874,0.0000
172,42,11,0.9742,0.00004936,4.3435,19.8215,0.0000
173,222,18,0.9740,0.00004935,4.9779,31.4608,0.0000
174,75,14,0.9739,0.00004935,4.4844,24.0818,0.0000
175,59,12,0.9738,0.00004934,5.7641,22.7985,0.0000
176,78,13,0.9736,0.00004934,5.3703,29.8898,0.0000
177,29,8,0.9735,0.00004934,4.7313,25.7367,0.0000
178,37,8,0.9733,0.00004933,6.3542,29.9229,0.0000
179,95,17,0.9731,0.00004933,4.5580,29.3619,0.0000
180,35,11,0.9730,0.00004932,4.6517,25.2509,0.0000
181,50,10,0.9728,0.00004932,5.3991,26.7139,0.0000
182,52,11,0.9727,0.00004932,4.2625,30.0233,0.0000
183,34,10,0.9726,0.00004931,3.4395,24.4480,0.0000
184,50,11,0.9724,0.00004931,3.3906,27.6400,0.0000
185,139,18,0.9722,0.00004931,5.1254,31.9323,0.0000
186,66,12,0.9721,0.00004930,4.4917,27.5955,0.0000
187,66,14,0.9719,0.00004930,4.4887,28.4300,0.0000
188,96,14,0.9718,0.00004930,4.3463,31.0952,0.0000
189,72,13,0.9717,0.00004929,4.4853,29.1857,0.0000
190,37,10,0.9715,0.00004929,5.7142,27.5167,0.0000
191,101,13,0.9714,0.00004928,4.5629,32.6254,0.0000
192,36,8,0.9712,0.00004928,5.2848,29.0267,0.0000
193,39,10,0.9710,0.00004928,4.6526,25.6367,0.0000
194,118,13,0.9709,0.00004927,5.3898,33.3376,0.0000
195,48,11,0.9708,0.00004927,4.1058,27.4463,0.0000
196,57,12,0.9706,0.00004927,4.8727,28.1729,0.0000
197,29,8,0.9705,0.00004926,3.3021,26.7657,0.0000
198,172,20,0.9703,0.00004926,3.0417,30.8848,0.0000
199,27,7,0.9701,0.00004925,3.7474,25.6893,0.0000
200,76,14,0.9700,0.00004925,5.0505,29.4518,0.0000
201,30,8,0.9698,0.00004925,5.3233,26.5803,0.0000
202,33,8,0.9697,0.00004924,4.6409,26.0385,0.0000
203,134,18,0.9696,0.00004924,3.8534,35.9028,0.0000
204,34,8,0.9694,0.00004924,4.0263,25.5741,0.0000
205,61,11,0.9692,0.00004923,4.1527,29.3032,0.0000
206,57,11,0.9691,0.00004923,4.6788,26.8065,0.0000
207,92,14,0.9689,0.00004922,4.2693,27.6765,0.0000
208,36,9,0.9688,0.00004922,5.1321,24.8884,0.0000
209,24,7,0.9687,0.00004922,3.9229,25.1978,0.0000
210,63,13,0.9685,0.00004921,5.0135,26.4969,0.0000
211,81,14,0.9684,0.00004921,4.7488,29.7955,0.0000
212,32,8,0.9682,0.00004921,4.2174,28.3899,0.0000
213,34,7,0.9680,0.00004920,3.9688,27.0694,0.0000
214,38,9,0.9679,0.00004920,4.8409,28.2432,0.0000
215,121,15,0.9677,0.00004919,4.4926,29.0650,0.0000
216,33,9,0.9676,0.00004919,5.8111,25.5527,0.0000
217,158,18,0.9675,0.00004919,4.7221,32.0125,0.0000
218,39,9,0.9673,0.00004918,5.6455,35.6711,0.0000
219,35,10,0.9671,0.00004918,5.0456,28.5631,0.0000
220,55,12,0.9670,0.00004918,6.3752,31.5552,0.0000
221,57,12,0.9668,0.00004917,4.2415,36.5521,0.0000
222,48,9,0.9667,0.00004917,5.8143,31.4458,0.0000
223,34,9,0.9666,0.00004916,4.7729,30.2437,0.0000
224,38,11,0.9664,0.00004916,4.3271,32.4170,0.0000
225,83,18,0.9663,0.00004916,4.2458,33.6965,0.0000
226,59,12,0.9661,0.00004915,4.3759,33.2075,0.0000
227,33,9,0.9659,0.00004915,5.0341,30.6175,0.0000
228,41,10,0.9658,0.00004915,5.1957,30.9885,0.0000
229,87,14,0.9657,0.00004914,4.4195,36.4987,0.0000
230,56,11,0.9655,0.00004914,4.6442,35.9728,0.0000
231,96,17,0.9654,0.00004913,4.7099,34.8275,0.0000
232,59,12,0.9652,0.00004913,4.0360,30.7170,0.0000
233,39,10,0.9650,0.00004913,5.3369,31.9532,0.0000
234,24,6,0.9649,0.00004912,3.9588,30.0153,0.0000
235,32,11,0.9647,0.00004912,5.2185,28.1352,0.0000
236,34,9,0.9646,0.00004911,3.7443,29.4210,0.0000
237,156,19,0.9645,0.00004911,4.6721,35.7120,0.0000
238,51,9,0.9643,0.00004911,4.7083,33.4678,0.0000
239,51,10,0.9641,0.00004910,4.7313,32.3123,0.0000
240,40,10,0.9640,0.00004910,4.3560,31.8706,0.0000
241,57,12,0.9638,0.00004910,5.0727,33.2526,0.0000
242,43,11,0.9637,0.00004909,4.8024,32.4627,0.0000
243,41,10,0.9636,0.00004909,4.0802,34.2303,0.0000
244,252,25,0.9634,0.00004909,5.7494,40.6007,0.0000
245,75,14,0.9633,0.00004908,4.7341,30.8617,0.0000
246,45,10,0.9631,0.00004908,3.4994,32.9787,0.0000
247,39,10,0.9629,0.00004907,4.0178,29.6700,0.0000
248,31,8,0.9628,0.00004907,3.8988,34.9536,0.0000
249,59,14,0.9627,0.00004907,3.9707,30.4542,0.0000
250,52,9,0.9625,0.00004906,4.5608,35.7674,0.0000
251,170,16,0.9624,0.00004906,4.9856,49.9089,0.0000
252,36,9,0.9622,0.00004906,4.4675,29.6392,0.0000
253,30,8,0.9620,0.00004905,5.7554,34.5598,0.0000
254,98,17,0.9619,0.00004905,5.7598,31.5343,0.0000
255,45,11,0.9617,0.00004904,4.3656,31.7086,0.0000
256,37,10,0.9616,0.00004904,4.5766,32.8553,0.0000
257,35,9,0.9615,0.00004904,6.5662,28.8206,0.0000
258,31,7,0.9613,0.00004903,3.5499,33.3768,0.0000
259,75,15,0.9611,0.00004903,5.5109,31.0503,0.0000
260,40,9,0.9610,0.00004902,4.8220,31.2567,0.0000
261,85,14,0.9608,0.00004902,5.2422,34.4680,0.0000
262,34,9,0.9607,0.00004902,6.3138,30.0940,0.0000
263,42,11,0.9606,0.00004901,4.6966,38.0202,0.0000
264,50,9,0.9604,0.00004901,5.5989,38.9570,0.0000
265,62,12,0.9603,0.00004901,7.1317,37.7320,0.0000
266,226,22,0.9601,0.00004900,4.6777,45.5846,0.0000
267,43,11,0.9599,0.00004900,5.4873,37.7064,0.0000
268,158,16,0.9598,0.00004900,4.6125,48.9870,0.0000
269,54,11,0.9597,0.00004899,5.6413,36.4624,0.0000
270,98,13,0.9595,0.00004899,3.9823,44.3833,0.0000
271,90,15,0.9594,0.00004898,4.7096,38.6828,0.0000
272,41,11,0.9592,0.00004898,4.6716,34.1929,0.0000
273,247,24,0.9590,0.00004898,4.1362,43.4384,0.0000
274,73,10,0.9589,0.00004897,4.6787,38.5327,0.0000
275,30,8,0.9587,0.00004897,3.9392,35.0239,0.0000
276,21,6,0.9586,0.00004897,4.8718,33.6000,0.0000
277,31,7,0.9585,0.00004896,6.2321,36.5865,0.0000
278,173,18,0.9583,0.00004896,5.4711,40.2690,0.0000
279,33,7,0.9582,0.00004895,5.0730,37.7877,0.0000
280,271,21,0.9580,0.00004895,4.9869,48.5725,0.0000
281,54,12,0.9578,0.00004895,6.0421,35.5316,0.0000
282,75,11,0.9577,0.00004894,6.1232,38.1785,0.0000
283,48,9,0.9576,0.00004894,5.8151,38.8098,0.0000
284,17,4,0.9574,0.00004894,5.4758,36.7876,0.0000
285,26,8,0.9573,0.00004893,4.5833,33.6652,0.0000
286,37,11,0.9571,0.00004893,5.8513,38.3602,0.0000
287,41,11,0.9569,0.00004892,5.6361,36.9004,0.0000
288,35,8,0.9568,0.00004892,4.7949,37.0451,0.0000
289,22,4,0.9567,0.00004892,6.0335,38.0460,0.0000
290,42,9,0.9565,0.00004891,4.9750,37.1707,0.0000
291,44,13,0.9564,0.00004891,5.6958,34.6027,0.0000
292,36,9,0.9562,0.00004891,4.3548,38.3229,0.0000
293,30,8,0.9560,0.00004890,5.8175,33.9397,0.0000
294,45,8,0.9559,0.00004890,7.3889,41.5109,0.0000
295,31,7,0.9557,0.00004889,4.0085,34.5698,0.0000
296,32,8,0.9556,0.00004889,5.3348,34.5826,0.0000
297,143,20,0.9555,0.00004889,5.9149,44.2436,0.0000
298,38,10,0.9553,0.00004888,4.6190,34.3955,0.0000
299,35,9,0.9551,0.00004888,5.9833,37.6890,0.0000
300,37,9,0.9550,0.00004888,4.0966,34.9156,0.0000
301,27,8,0.9548,0.00004887,4.6287,35.5629,0.0000
302,59,13,0.9547,0.00004887,6.4167,36.2818,0.0000
303,39,11,0.9546,0.00004886,5.1449,36.0171,0.0000
304,64,11,0.9544,0.00004886,5.0585,44.4233,0.0000
305,41,11,0.9543,0.00004886,4.2201,34.3926,0.0000
306,54,10,0.9541,0.00004885,5.7823,38.6848,0.0000
307,101,12,0.9539,0.00004885,6.4108,40.0040,0.0000
308,169,15,0.9538,0.00004885,6.4910,50.3378,0.0000
309,34,10,0.9536,0.00004884,6.3536,37.8650,0.0000
310,39,10,0.9535,0.00004884,5.7393,39.3550,0.0000
311,52,11,0.9534,0.00004883,5.8618,41.9126,0.0000
312,54,10,0.9532,0.00004883,6.1167,44.0163,0.0000
313,44,10,0.9530,0.00004883,6.5394,44.5090,0.0000
314,44,12,0.9529,0.00004882,7.4404,40.7156,0.0000
315,84,13,0.9527,0.00004882,4.4328,43.4543,0.0000
316,38,10,0.9526,0.00004881,5.6765,40.1017,0.0000
317,53,12,0.9525,0.00004881,5.4568,39.2883,0.0000
318,31,8,0.9523,0.00004881,5.3217,40.1649,0.0000
319,76,15,0.9522,0.00004880,5.9339,42.4234,0.0000
320,138,19,0.9520,0.00004880,6.4870,47.1814,0.0000
321,83,14,0.9518,0.00004880,4.5037,40.4686,0.0000
322,55,11,0.9517,0.00004879,5.7559,40.4009,0.0000
323,42,12,0.9516,0.00004879,6.0543,38.4235,0.0000
324,40,10,0.9514,0.00004879,5.8799,43.9757,0.0000
325,53,11,0.9513,0.00004878,7.1649,41.3227,0.0000
326,42,8,0.9511,0.00004878,3.5745,40.8623,0.0000
327,38,9,0.9509,0.00004877,5.0188,40.4539,0.0000
328,60,13,0.9508,0.00004877,5.1973,40.7306,0.0000
329,32,7,0.9506,0.00004877,5.0935,43.2096,0.0000
330,42,13,0.9505,0.00004876,6.0254,39.2508,0.0000
331,104,16,0.9504,0.00004876,6.8591,48.1400,0.0000
332,41,11,0.9502,0.00004876,5.4700,39.6041,0.0000
333,77,16,0.9500,0.00004875,6.5826,41.4464,0.0000
334,113,19,0.9499,0.00004875,4.9597,44.9949,0.0000
335,47,11,0.9497,0.00004874,4.0993,40.8731,0.0000
336,76,12,0.9496,0.00004874,6.1191,42.7472,0.0000
337,42,11,0.9495,0.00004874,4.8421,39.5884,0.0000
338,59,12,0.9493,0.00004873,5.0256,40.9525,0.0000
339,34,8,0.9492,0.00004873,3.8890,39.7721,0.0000
340,59,12,0.9490,0.00004873,4.9680,46.4357,0.0000
341,288,23,0.9488,0.00004872,5.8660,52.7425,0.0000
342,40,12,0.9487,0.00004872,6.4486,37.0304,0.0000
343,80,15,0.9486,0.00004871,4.7638,42.7082,0.0000
344,60,12,0.9484,0.00004871,5.3023,42.4905,0.0000
345,95,18,0.9483,0.00004871,5.7441,42.9742,0.0000
