rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
226,462848,79.98,13.26,-0.0058,4191.9232,0.1019
227,464896,79.21,13.07,-0.0023,4909.9853,0.0861
228,466944,87.84,13.11,0.0004,7182.4305,0.0790
229,468992,81.51,13.24,-0.0014,5308.9637,0.0897
230,471040,76.91,12.42,0.0054,4949.3700,0.0730
231,473088,70.28,12.32,-0.0011,4486.7933,0.0992
232,475136,79.11,13.07,0.0083,4236.8101,0.1283
233,477184,75.96,12.77,-0.0059,3589.9007,0.1229
234,479232,82.46,12.91,0.0032,6050.0662,0.1062
235,481280,81.98,13.09,0.0007,6704.9711,0.1321
236,483328,79.99,13.09,-0.0017,4426.6685,0.1080
237,485376,87.03,13.11,-0.0012,6062.0188,0.1014
238,487424,83.36,13.34,-0.0000,5005.0889,0.1013
239,489472,75.18,12.67,0.0017,4748.9896,0.1105
240,491520,77.57,12.52,0.0030,5415.8001,0.0955
241,493568,71.38,12.19,0.0058,3861.2488,0.1237
242,495616,95.90,13.96,0.0023,5556.6909,0.1089
243,497664,81.42,13.05,0.0002,5471.1132,0.1051
244,499712,83.73,13.27,0.0021,5106.4680,0.1007
245,501760,80.52,12.71,0.0035,5535.7740,0.1362
246,503808,87.90,13.46,0.0027,4601.5322,0.1122
247,505856,98.99,14.11,0.0021,6369.1683,0.1015
248,507904,76.35,12.88,-0.0011,4668.3685,0.1340
249,509952,74.47,12.59,0.0032,5949.8978,0.1140
250,512000,75.33,12.71,0.0056,4948.6308,0.1196
251,514048,94.66,13.36,0.0088,5669.2105,0.0921
252,516096,80.12,12.86,0.0057,4263.2634,0.0896
253,518144,88.05,13.82,-0.0006,4583.3671,0.0870
254,520192,82.22,13.45,0.0010,4438.2722,0.0901
255,522240,83.75,13.19,0.0039,5430.3711,0.0936
256,524288,71.59,12.48,0.0044,4686.4770,0.1050
257,526336,75.74,12.84,0.0043,4105.0604,0.1339
258,528384,78.78,12.99,0.0057,4427.1003,0.1019
259,530432,86.24,13.49,-0.0027,4758.7186,0.1018
260,532480,84.24,13.25,0.0046,5393.7045,0.0887
261,534528,77.14,12.72,0.0010,4661.6701,0.0832
262,536576,89.49,13.45,-0.0010,5844.4017,0.0748
263,538624,93.12,13.84,-0.0003,5734.3666,0.0798
264,540672,84.33,13.03,-0.0023,5170.0898,0.0819
265,542720,76.11,12.75,-0.0008,4977.1989,0.0901
266,544768,79.24,12.94,0.0016,5010.0191,0.1154
267,546816,99.45,14.45,0.0021,4862.6765,0.1065
268,548864,88.48,13.39,0.0008,5763.2851,0.1144
269,550912,77.53,12.69,0.0002,5186.9657,0.1038
270,552960,82.63,13.13,-0.0003,5304.8978,0.0856
