episode,score,steps,epsilon,loss,avg_v
83,60,14,0.9981,5.0639,17.2135
84,26,7,0.9981,2.8357,15.6155
85,103,16,0.9981,3.2751,14.9628
86,108,15,0.9981,5.7423,17.3681
87,42,10,0.9980,4.1456,15.2400
88,138,16,0.9980,4.3048,22.7886
89,57,11,0.9980,4.2457,14.0185
90,29,8,0.9980,3.9503,12.5832
91,35,9,0.9980,4.6777,11.3158
92,55,10,0.9979,7.2295,16.8133
93,42,9,0.9979,7.1160,18.9703
94,31,8,0.9979,5.5508,16.4166
95,56,13,0.9979,5.1941,17.6355
96,104,16,0.9978,4.7714,22.2700
97,35,9,0.9978,3.6405,15.5865
98,78,14,0.9978,4.5356,21.7081
99,48,9,0.9978,4.2502,20.7609
100,40,11,0.9978,4.9179,17.1042
101,88,14,0.9977,5.9025,21.9244
102,41,11,0.9977,4.1642,17.4519
103,136,19,0.9977,5.0153,26.0140
104,84,15,0.9977,4.8198,22.0716
105,44,12,0.9976,5.0292,17.0942
106,60,14,0.9976,5.0271,16.5957
107,30,8,0.9976,4.5586,17.5567
108,159,20,0.9976,4.2051,25.5413
109,61,13,0.9975,5.1120,16.4719
110,35,10,0.9975,3.9397,18.1805
111,194,22,0.9975,5.0369,23.8605
112,40,9,0.9975,3.9664,17.8677
113,46,10,0.9975,4.4989,18.1253
114,65,13,0.9974,4.5650,21.3140
115,110,15,0.9974,4.5073,18.1810
116,56,11,0.9974,4.2094,18.2012
117,69,13,0.9974,5.3202,19.7356
118,34,9,0.9973,4.8468,20.2752
119,27,7,0.9973,5.8684,16.5819
120,59,13,0.9973,5.2413,18.5823
121,40,10,0.9973,3.9321,17.9261
122,83,13,0.9973,3.9415,22.6016
123,58,13,0.9972,4.7370,19.0762
124,29,7,0.9972,4.5404,20.2166
125,30,8,0.9972,3.6605,14.9742
126,62,15,0.9972,3.5300,15.3368
127,218,18,0.9971,3.6120,30.4983
128,31,7,0.9971,3.9614,17.5880
129,37,9,0.9971,4.4700,15.8976
130,31,8,0.9971,4.4954,16.3422
131,38,11,0.9971,5.2531,15.8158
132,119,17,0.9970,4.8559,21.9068
133,59,12,0.9970,5.3258,20.3714
134,41,11,0.9970,4.9884,20.0221
135,57,12,0.9970,5.6982,24.5595
136,38,9,0.9969,3.6436,22.0861
137,39,10,0.9969,4.7543,19.4475
138,190,22,0.9969,3.3118,24.0337
139,40,9,0.9969,4.4857,25.9252
140,57,9,0.9969,5.6840,23.0965
141,59,13,0.9968,4.8028,24.2186
142,32,9,0.9968,5.1027,21.0813
143,131,16,0.9968,5.0366,28.3172
144,34,10,0.9968,4.4908,19.8823
145,34,9,0.9967,5.7761,24.3649
146,105,15,0.9967,4.9262,26.7868
147,28,8,0.9967,4.2571,20.3100
148,34,9,0.9967,4.6034,21.1689
149,28,8,0.9966,3.3046,19.3030
150,18,4,0.9966,7.0591,23.7115
151,44,12,0.9966,5.2862,20.6869
152,43,12,0.9966,5.2630,20.6232
153,72,11,0.9966,5.0816,28.7152
154,36,9,0.9965,3.5503,23.3376
155,26,6,0.9965,4.8375,26.2658
156,37,9,0.9965,3.9066,22.3563
157,54,12,0.9965,4.3982,21.2375
158,71,13,0.9964,5.2471,22.7844
159,37,10,0.9964,4.6506,22.3659
160,28,7,0.9964,4.2110,21.9516
161,56,11,0.9964,5.0494,25.1680
162,38,10,0.9964,4.6594,21.9139
163,56,11,0.9963,4.9082,25.9945
164,40,10,0.9963,5.0334,20.6555
165,39,11,0.9963,5.4350,19.7654
166,41,12,0.9963,5.2153,19.4482
167,45,12,0.9962,3.8889,21.1129
168,43,10,0.9962,3.4976,23.2536
169,55,10,0.9962,5.0118,26.2383
170,49,10,0.9962,4.7725,25.1049
171,35,9,0.9962,3.9452,24.7678
172,60,14,0.9961,4.7705,23.4118
173,35,8,0.9961,4.0129,22.1781
174,35,10,0.9961,4.3316,23.8587
175,128,15,0.9961,4.5717,27.5308
176,38,9,0.9960,4.0594,20.9327
177,38,9,0.9960,5.3901,20.4531
178,41,11,0.9960,4.1348,21.6785
179,40,11,0.9960,3.9484,21.9617
180,59,12,0.9960,5.5381,22.6756
181,36,11,0.9959,6.3361,24.5965
182,44,12,0.9959,7.4965,25.9652
183,33,8,0.9959,5.0124,26.3496
184,56,12,0.9959,5.6166,29.0060
185,116,16,0.9958,4.9395,29.8713
186,40,11,0.9958,3.0759,26.8236
187,78,13,0.9958,4.8082,28.8586
188,36,10,0.9958,4.9307,24.5343
189,33,8,0.9957,5.8451,28.5271
190,121,19,0.9957,4.7116,30.6463
191,83,13,0.9957,4.8344,26.2727
192,42,9,0.9957,4.0945,25.7183
193,62,10,0.9957,5.7615,30.0262
194,85,13,0.9956,5.6276,30.8440
195,84,15,0.9956,4.1199,29.4085
196,208,19,0.9956,4.4919,45.4630
197,28,7,0.9956,3.9514,24.7721
198,98,16,0.9955,4.4677,28.7306
199,109,13,0.9955,5.8858,36.9907
200,43,10,0.9955,5.3028,29.9317
201,291,23,0.9955,4.9599,44.3765
202,36,9,0.9955,4.7739,24.0101
203,42,9,0.9954,4.1920,26.5192
204,104,14,0.9954,4.0019,32.9422
205,54,12,0.9954,4.7956,28.5165
206,35,8,0.9954,4.5741,27.8209
207,52,11,0.9953,5.6587,28.4100
208,143,16,0.9953,5.1536,33.8174
209,43,10,0.9953,6.0010,29.5590
210,52,10,0.9953,5.5008,27.7873
211,51,12,0.9953,3.1711,26.6630
212,33,9,0.9952,5.1809,22.8147
213,126,18,0.9952,4.8197,31.1288
214,39,11,0.9952,4.2188,23.5866
215,21,5,0.9952,3.7714,28.5304
216,57,12,0.9951,4.7177,27.4937
217,51,9,0.9951,4.8467,26.5191
218,31,7,0.9951,4.3304,25.5798
219,42,11,0.9951,4.8361,27.9372
220,57,11,0.9950,4.3103,28.6549
221,59,13,0.9950,4.6781,28.8802
222,147,17,0.9950,6.1449,34.4904
223,52,12,0.9950,5.4569,32.9317
224,56,11,0.9950,6.0726,30.7155
225,39,8,0.9949,4.2524,30.4740
226,61,14,0.9949,4.5898,31.0657
227,65,14,0.9949,5.3784,33.9383
228,87,14,0.9949,5.2321,32.7964
229,42,9,0.9948,5.4255,29.9012
230,45,11,0.9948,4.5430,30.3133
231,26,8,0.9948,6.5087,28.8170
232,60,13,0.9948,5.2178,32.1407
233,124,16,0.9948,4.8865,33.9368
234,56,13,0.9947,6.0787,31.5876
235,43,11,0.9947,3.8026,31.2586
236,39,9,0.9947,5.4226,29.0831
237,35,9,0.9947,4.9566,30.7195
238,36,11,0.9946,4.9969,30.1355
239,57,13,0.9946,3.8910,31.5019
240,124,14,0.9946,5.4927,36.8144
241,52,11,0.9946,4.6457,31.4817
242,41,10,0.9946,4.5604,29.9549
243,50,12,0.9945,4.4484,31.2996
244,34,8,0.9945,4.8865,33.3396
245,33,7,0.9945,6.3458,30.6889
246,75,15,0.9945,3.8543,33.5102
247,60,13,0.9944,4.3257,30.2659
248,33,9,0.9944,6.2805,31.2869
249,43,9,0.9944,4.2132,29.1967
250,37,10,0.9944,5.3301,31.9876
251,80,13,0.9944,4.5637,36.5137
252,59,12,0.9943,4.6474,32.1688
253,38,10,0.9943,3.7482,30.9558
254,46,13,0.9943,5.1230,30.1468
255,80,15,0.9943,4.6828,34.4361
256,48,13,0.9942,4.5521,31.4595
257,34,8,0.9942,3.5517,33.9407
258,44,12,0.9942,6.6983,29.2380
259,46,9,0.9942,4.2561,34.0748
260,34,9,0.9941,6.7056,29.8978
261,55,10,0.9941,4.8773,30.4325
262,80,12,0.9941,4.6359,37.1246
263,35,7,0.9941,5.4538,31.9911
264,24,6,0.9941,4.3417,31.0371
265,73,13,0.9940,4.2056,32.7300
266,83,13,0.9940,5.7362,36.8061
267,46,8,0.9940,5.2641,31.7451
268,206,21,0.9940,5.5489,42.3569
269,34,7,0.9939,5.4183,39.7992
270,39,9,0.9939,5.0933,34.3199
271,40,9,0.9939,5.3281,36.5844
272,42,11,0.9939,4.9150,35.1901
273,29,8,0.9939,4.6533,33.0995
274,40,9,0.9938,4.2779,38.3135
275,35,10,0.9938,6.2179,33.2777
276,39,9,0.9938,6.0133,33.5828
277,111,13,0.9938,5.0506,40.0276
278,50,7,0.9937,5.3157,39.0018
279,26,6,0.9937,4.7608,33.0274
280,80,13,0.9937,4.2579,36.8472
281,31,8,0.9937,4.5821,33.4824
282,227,17,0.9937,5.7183,53.0611
283,49,10,0.9936,4.6463,36.7657
284,29,7,0.9936,4.7541,33.6047
285,34,9,0.9936,4.9957,32.3641
286,68,15,0.9936,5.6990,34.5706
287,36,8,0.9935,5.9907,36.0015
288,53,10,0.9935,6.1286,38.7291
289,44,11,0.9935,5.3373,35.3543
290,35,10,0.9935,4.6695,36.0371
291,55,9,0.9935,4.8498,36.5460
292,84,14,0.9934,3.8834,36.7391
293,54,12,0.9934,4.8450,32.7709
294,43,10,0.9934,3.7276,34.6491
295,55,12,0.9934,5.0830,36.4566
296,31,10,0.9933,6.1759,32.0288
297,51,11,0.9933,5.6236,36.2738
298,69,13,0.9933,4.3515,34.3052
299,55,11,0.9933,5.1927,37.6637
300,159,14,0.9932,4.7772,50.6937
301,41,10,0.9932,4.2376,35.3696
302,43,12,0.9932,4.8539,32.6842
303,38,8,0.9932,4.6266,35.0965
304,55,13,0.9932,6.2982,33.5736
305,40,10,0.9931,3.0160,35.6179
306,32,6,0.9931,4.6333,37.7479
307,38,10,0.9931,4.3604,34.1619
308,39,9,0.9931,3.9568,34.3760
309,32,8,0.9930,5.8334,34.1699
310,39,9,0.9930,5.3596,33.7766
311,26,6,0.9930,3.7866,35.1916
312,112,13,0.9930,5.5033,38.3372
313,135,16,0.9930,3.8709,41.2262
314,52,10,0.9929,4.4675,38.8394
315,45,12,0.9929,6.3388,35.1272
316,25,7,0.9929,6.0563,39.0946
317,47,10,0.9929,8.0955,39.4103
318,23,6,0.9928,5.2469,36.8056
319,76,13,0.9928,4.3402,39.4924
320,37,10,0.9928,7.4359,39.4042
321,37,10,0.9928,5.5310,36.2382
322,27,7,0.9928,5.2153,36.5440
323,43,12,0.9927,5.0626,39.8391
324,119,15,0.9927,6.2948,46.0773
325,146,17,0.9927,5.4189,43.3533
326,41,12,0.9927,4.3656,38.1143
327,86,13,0.9926,4.4327,41.6809
328,94,16,0.9926,5.2036,40.9276
329,80,12,0.9926,5.9911,39.4986
330,37,10,0.9926,5.1952,38.8624
331,57,14,0.9926,4.8099,42.3987
332,42,12,0.9925,4.2139,37.1338
333,56,13,0.9925,5.7777,39.9909
334,31,7,0.9925,6.1725,37.8825
335,36,9,0.9925,5.0649,37.5554
336,29,8,0.9924,4.6118,37.7086
337,32,8,0.9924,6.8218,36.7758
338,287,23,0.9924,5.7460,48.2480
339,47,9,0.9924,4.7330,37.3646
340,46,11,0.9923,5.6697,36.6963
341,38,9,0.9923,5.7217,39.1830
342,38,9,0.9923,5.9948,40.3144
343,41,10,0.9923,3.5514,37.0121
344,41,9,0.9923,7.1849,42.3483
345,44,11,0.9922,4.5958,39.3942
346,41,11,0.9922,6.3399,37.9618
347,27,8,0.9922,3.8895,38.4105
348,44,11,0.9922,4.2366,37.8070
349,27,7,0.9921,4.2218,37.9460
350,40,9,0.9921,4.7684,40.1463
351,119,14,0.9921,5.9019,42.1276
352,83,13,0.9921,5.2892,41.8897
353,42,11,0.9921,8.2399,39.0640
354,59,14,0.9920,6.2147,36.5879
355,64,13,0.9920,5.2899,44.4881
356,41,10,0.9920,4.7646,39.2019
357,93,16,0.9920,4.0535,44.3123
358,56,12,0.9919,6.1937,38.8937
359,44,11,0.9919,6.2949,37.4748
360,46,13,0.9919,6.1748,42.7435
361,32,7,0.9919,5.8735,45.5702
362,47,11,0.9919,5.1240,43.0847
363,148,22,0.9918,4.4415,48.3055
364,81,14,0.9918,4.7780,48.5099
365,118,18,0.9918,5.0320,50.0825
366,157,18,0.9918,4.2212,50.2937
367,41,10,0.9917,6.1854,43.6302
368,42,11,0.9917,3.8914,40.7453
369,23,5,0.9917,5.1373,48.1963
370,41,9,0.9917,4.8248,45.5783
371,175,19,0.9917,5.7210,52.5587
372,71,14,0.9916,6.9927,45.8070
373,45,11,0.9916,4.5588,45.1573
374,44,11,0.9916,6.8244,42.5010
375,35,9,0.9916,5.8155,41.7400
376,29,8,0.9915,6.2839,41.1358
377,86,14,0.9915,6.0260,47.0911
378,35,9,0.9915,5.2457,41.8115
379,59,11,0.9915,6.5933,51.6094
380,29,7,0.9915,4.4047,41.4062
381,55,11,0.9914,4.1028,43.7630
382,32,9,0.9914,4.5624,41.1263
383,55,11,0.9914,4.8996,42.4078
384,43,10,0.9914,6.4375,44.8529
385,70,12,0.9913,5.6165,43.2354
386,40,10,0.9913,4.7178,43.5058
387,39,10,0.9913,5.5856,43.5986
388,31,8,0.9913,6.0442,41.7119
389,38,10,0.9912,4.4487,40.9014
390,59,14,0.9912,5.8674,41.6043
391,46,12,0.9912,5.4762,44.6404
392,40,10,0.9912,4.4773,44.4055
393,83,13,0.9912,6.3363,43.7373
394,35,9,0.9911,6.5455,43.8359
395,58,12,0.9911,6.0537,41.5072
396,38,10,0.9911,6.6417,42.3766
397,32,8,0.9911,6.7953,43.0720
398,57,14,0.9910,5.2274,44.5925
399,139,20,0.9910,5.5745,46.3152
400,80,14,0.9910,4.7823,47.1063
401,39,9,0.9910,6.6146,41.4857
402,41,10,0.9910,5.0034,42.8137
403,46,14,0.9909,5.9157,46.7067
404,58,12,0.9909,7.8434,49.6808
405,71,13,0.9909,6.0148,49.0581
406,27,7,0.9909,5.4430,45.1154
407,49,10,0.9908,8.5067,45.5141
408,40,9,0.9908,6.9682,46.9993
409,222,21,0.9908,6.1869,57.2198
410,36,8,0.9908,6.1524,47.8672
411,50,9,0.9908,5.8310,48.1005
412,41,10,0.9907,4.5579,48.6481
413,78,13,0.9907,5.1514,51.6982
414,41,10,0.9907,5.6238,46.2482
415,35,11,0.9907,6.0249,45.4715
416,29,7,0.9906,4.1398,45.5765
417,34,9,0.9906,4.8030,44.4677
418,44,12,0.9906,8.1620,45.3923
419,56,13,0.9906,6.6698,46.4398
420,159,16,0.9906,5.5530,51.8470
421,87,16,0.9905,4.8274,52.0435
422,23,7,0.9905,6.8104,44.8777
423,28,8,0.9905,4.9825,45.6692
424,62,14,0.9905,4.9565,48.6614
425,40,8,0.9904,4.8999,50.3136
426,425,28,0.9904,5.3354,65.3699
427,183,20,0.9904,5.9539,52.4368
428,38,8,0.9904,7.1199,51.3514
429,53,12,0.9903,5.2896,45.5386
430,52,9,0.9903,5.3368,50.7474
431,63,12,0.9903,4.6197,51.4928
432,149,19,0.9903,4.5942,50.4760
433,113,19,0.9903,5.2098,50.3699
434,48,12,0.9902,7.1225,45.5227
435,48,12,0.9902,5.4995,48.1180
436,42,10,0.9902,6.6286,45.4058
437,43,11,0.9902,5.5581,45.6495
438,53,11,0.9901,5.1273,46.6875
439,28,7,0.9901,4.9591,49.3878
440,59,13,0.9901,5.5840,48.9772
441,25,6,0.9901,6.2073,46.3878
442,106,13,0.9901,4.8571,55.1237
443,45,11,0.9900,5.7000,49.2746
444,62,12,0.9900,5.6886,49.0530
445,21,5,0.9900,7.4806,47.1301
446,54,9,0.9900,5.3143,57.4988
447,27,8,0.9899,3.7857,49.3171
448,37,9,0.9899,6.4559,52.6427
449,29,8,0.9899,7.8718,51.8820
450,36,11,0.9899,6.2245,49.6313
451,161,15,0.9899,7.3821,57.4965
452,38,9,0.9898,4.6315,50.8112
453,56,12,0.9898,6.6233,53.3353
454,33,7,0.9898,6.0878,54.1839
455,58,11,0.9898,8.7862,54.8731
456,40,9,0.9897,7.9842,50.5626
457,37,8,0.9897,5.6905,53.4572
458,39,10,0.9897,6.5787,53.2246
459,32,8,0.9897,5.9890,50.7549
460,54,14,0.9897,6.8824,50.3729
461,40,11,0.9896,6.2311,52.9791
462,40,9,0.9896,8.6077,53.6290
463,54,12,0.9896,6.3541,50.0714
464,40,11,0.9896,7.0850,52.1695
465,38,9,0.9895,6.2008,51.0787
466,40,10,0.9895,4.5812,50.4138
467,31,9,0.9895,6.3352,50.3249
468,33,8,0.9895,5.6926,52.2425
469,66,13,0.9894,5.4720,50.2660
470,110,15,0.9894,7.1647,56.5797
471,97,13,0.9894,5.5002,59.1978
472,38,10,0.9894,5.3047,52.4587
473,123,16,0.9894,6.3240,62.9933
474,43,10,0.9893,5.4003,50.5610
475,38,9,0.9893,5.1080,51.1165
476,42,10,0.9893,4.5617,54.1665
477,38,10,0.9893,6.3826,53.0040
478,38,11,0.9892,6.5292,51.1442
479,168,17,0.9892,6.9513,62.9973
480,43,10,0.9892,5.1798,53.6758
481,90,15,0.9892,7.3888,54.3363
482,58,11,0.9892,6.9139,54.3981
483,48,9,0.9891,6.8681,52.4889
484,28,7,0.9891,6.6196,50.0040
485,31,7,0.9891,4.3726,56.4605
486,30,7,0.9891,7.6356,51.3002
487,35,9,0.9890,7.4405,50.9140
488,85,14,0.9890,6.1158,54.1609
489,63,14,0.9890,6.1163,53.3963
490,77,12,0.9890,4.9234,51.0496
491,131,17,0.9890,6.5484,56.9646
492,96,18,0.9889,6.5346,58.8099
493,157,20,0.9889,6.4024,60.4970
494,40,10,0.9889,8.3465,59.4844
495,19,4,0.9889,5.5077,57.7558
496,31,7,0.9888,6.6172,55.0769
497,35,10,0.9888,6.3374,51.4022
498,33,9,0.9888,5.0749,55.9272
499,58,13,0.9888,5.9123,57.2688
500,59,11,0.9888,6.5087,57.0667
501,44,12,0.9887,6.9796,55.9300
502,31,8,0.9887,5.2284,61.0482
503,406,9,0.9887,5.1257,96.7616
504,51,11,0.9887,4.2270,58.1640
505,34,9,0.9886,4.6792,56.3747
506,34,9,0.9886,7.4924,55.7192
507,20,5,0.9886,6.2486,58.3918
508,35,10,0.9886,5.4415,54.2471
509,36,9,0.9885,5.9755,53.8301
510,39,10,0.9885,6.7209,56.7055
511,39,10,0.9885,5.5904,54.3060
512,94,16,0.9885,5.1139,59.0246
513,30,8,0.9885,5.5656,55.3269
514,40,11,0.9884,6.4733,53.4013
515,173,18,0.9884,5.9888,67.9035
516,37,10,0.9884,8.7844,55.4506
517,52,11,0.9884,5.6740,57.0191
518,28,6,0.9883,6.6141,57.6990
519,35,8,0.9883,9.9439,57.3712
520,125,16,0.9883,6.6443,68.1127
521,56,12,0.9883,6.6668,58.6525
522,142,18,0.9883,5.5978,64.4609
523,41,10,0.9882,6.4313,57.3409
524,38,9,0.9882,6.9411,55.8593
525,91,14,0.9882,6.8812,60.3748
526,41,10,0.9882,5.9032,56.4433
527,79,13,0.9881,5.4911,61.1849
528,36,9,0.9881,8.6256,53.4614
529,170,17,0.9881,4.6328,62.5979
530,33,8,0.9881,6.0215,60.6592
531,55,11,0.9881,5.6350,57.8560
532,54,11,0.9880,4.0286,59.4078
533,58,10,0.9880,6.2029,61.8920
534,38,10,0.9880,6.5246,54.1386
535,63,12,0.9880,6.3480,58.5367
536,42,11,0.9879,5.7090,55.2471
537,54,11,0.9879,5.0081,63.3790
538,90,17,0.9879,8.4504,64.6092
539,23,6,0.9879,6.4230,57.2276
540,90,16,0.9879,5.0939,68.8651
541,40,10,0.9878,8.1540,58.5439
542,71,11,0.9878,4.8490,65.0454
543,123,15,0.9878,6.8673,65.6781
544,35,9,0.9878,8.3864,62.8118
545,177,20,0.9877,8.1686,68.5239
546,76,11,0.9877,6.4487,64.3836
547,37,10,0.9877,6.6405,60.3716
548,37,9,0.9877,6.7969,61.8372
549,34,8,0.9876,5.1474,58.2279
550,35,10,0.9876,6.5897,61.9119
551,87,16,0.9876,7.9450,62.9150
552,48,8,0.9876,6.0494,66.2664
553,73,13,0.9876,7.2772,67.9669
554,37,11,0.9875,5.4841,59.3206
555,31,7,0.9875,6.7635,61.3527
556,90,14,0.9875,5.7769,71.3045
557,55,11,0.9875,6.4325,62.5648
558,80,16,0.9874,5.7138,60.6670
559,29,7,0.9874,5.6191,60.9685
560,99,14,0.9874,6.7956,63.4558
561,76,17,0.9874,6.8515,63.5955
562,36,10,0.9874,5.5714,59.5313
563,40,11,0.9873,8.1097,62.5650
564,85,11,0.9873,6.8694,71.4546
565,159,16,0.9873,8.2986,81.3647
566,123,16,0.9873,7.3242,66.1815
567,38,11,0.9872,6.4489,58.8702
568,58,11,0.9872,9.0469,65.0419
569,38,9,0.9872,6.7600,62.3678
570,39,8,0.9872,6.1649,66.6229
571,39,10,0.9872,6.2679,59.9549
572,44,11,0.9871,7.2986,60.4643
573,42,10,0.9871,9.2476,58.9192
574,49,12,0.9871,6.1592,62.1841
575,25,6,0.9871,4.8309,62.1360
576,51,9,0.9870,7.7460,61.9709
577,35,9,0.9870,8.3434,62.5709
578,56,13,0.9870,8.1123,60.2102
579,53,10,0.9870,5.7599,61.0623
580,29,9,0.9869,5.9122,56.8997
581,37,9,0.9869,9.2340,61.3215
582,199,16,0.9869,10.2502,75.9183
583,59,14,0.9869,6.9397,67.8820
584,30,8,0.9869,7.2215,64.0974
585,54,12,0.9868,7.3661,64.0018
586,40,11,0.9868,6.0584,65.0641
587,42,11,0.9868,6.7726,63.8662
588,43,10,0.9868,7.5899,69.3301
589,38,9,0.9867,8.7368,68.6578
590,29,7,0.9867,5.1724,67.7913
591,121,16,0.9867,7.1960,73.5612
592,80,12,0.9867,8.9274,69.4082
593,37,10,0.9867,6.1989,65.5876
594,34,9,0.9866,7.2394,62.9740
595,37,9,0.9866,8.4573,63.8630
596,34,8,0.9866,5.6707,66.5464
597,57,12,0.9866,6.8114,65.9142
598,76,13,0.9865,5.7338,70.7929
599,33,10,0.9865,6.0715,66.5177
600,65,10,0.9865,9.2412,72.7435
601,39,9,0.9865,7.4462,63.6616
602,34,9,0.9865,5.3809,63.9892
603,154,22,0.9864,7.0961,70.9342
604,74,14,0.9864,8.7837,71.2397
605,57,13,0.9864,6.7780,63.6925
606,72,12,0.9864,6.7526,69.7297
607,32,10,0.9863,7.9205,66.4536
608,32,9,0.9863,5.0400,62.0345
609,36,8,0.9863,5.1800,67.8121
610,111,17,0.9863,7.0032,71.1133
611,65,15,0.9863,6.4804,70.3702
612,41,11,0.9862,8.1061,69.2654
613,41,12,0.9862,8.4841,64.4268
614,57,13,0.9862,7.7008,66.4836
615,77,16,0.9862,6.8201,67.2456
616,33,8,0.9861,9.4707,66.3506
617,35,10,0.9861,6.5553,63.6188
618,89,14,0.9861,6.2243,76.5418
619,40,9,0.9861,5.7629,68.7830
620,34,10,0.9860,4.9805,63.3345
621,48,11,0.9860,7.2897,67.2520
622,35,11,0.9860,9.2219,63.9436
623,57,12,0.9860,8.5715,66.4135
624,84,16,0.9860,6.7049,69.7314
625,42,10,0.9859,6.8360,68.0889
626,46,12,0.9859,7.9301,78.3507
627,61,14,0.9859,8.5913,73.1540
628,60,13,0.9859,6.8215,74.0814
629,39,10,0.9858,8.1343,69.5901
630,44,13,0.9858,6.0447,75.3318
631,35,9,0.9858,4.9222,68.4629
632,25,8,0.9858,6.8343,70.2210
633,87,13,0.9858,5.8311,77.5761
634,46,12,0.9857,7.4858,71.5671
635,37,10,0.9857,8.7543,68.0214
636,36,10,0.9857,6.3515,69.2392
637,33,8,0.9857,4.6212,73.2927
638,36,9,0.9856,5.6221,69.3091
639,51,9,0.9856,5.6326,77.4648
640,121,17,0.9856,7.2377,79.1139
641,143,19,0.9856,7.4084,75.8973
642,50,10,0.9856,7.9457,70.4616
643,54,12,0.9855,7.1088,75.9379
644,46,13,0.9855,7.0305,70.8496
645,78,11,0.9855,5.3586,79.4342
646,16,4,0.9855,7.6033,70.5575
647,105,18,0.9854,7.9778,74.5429
648,105,19,0.9854,7.9986,74.1316
649,33,9,0.9854,8.5748,69.9620
650,37,10,0.9854,6.9733,69.0976
651,43,9,0.9854,6.8899,75.0193
652,42,9,0.9853,8.8231,75.6862
653,30,7,0.9853,6.8031,71.5800
654,49,9,0.9853,8.9439,71.7252
655,193,21,0.9853,7.9174,82.7423
656,55,12,0.9852,8.2806,72.9612
657,78,15,0.9852,5.6262,79.1915
658,36,10,0.9852,7.9236,70.9448
659,163,17,0.9852,9.2267,79.3780
660,50,8,0.9851,6.4681,75.8004
661,82,12,0.9851,6.9485,75.5794
662,37,9,0.9851,7.1789,70.1875
663,60,14,0.9851,5.9461,75.3815
664,29,7,0.9851,6.3280,69.2275
